guess,expected_words,possible_solution
inure,102.85226781857452,0
loans,102.8902807775378,0
meant,103.01295896328294,1
satyr,103.12008639308856,1
pales,103.45874730021599,0
pates,103.50799136069114,0
fares,103.59006479481641,0
cruel,103.64190064794816,1
dries,103.72138228941684,0
spire,103.74038876889848,1
tired,103.78704103671706,0
relic,103.8267818574514,1
spore,103.86565874730022,1
haute,103.89071274298057,1
plier,103.94686825053996,1
artsy,104.0194384449244,1
coral,104.1110151187905,1
hotel,104.22332613390928,1
saint,104.25788336933044,1
gales,104.32095032397407,0
onset,104.45399568034557,1
hires,104.46781857451404,0
slain,104.48596112311014,1
cotes,104.51879049676026,0
water,104.5257019438445,1
laden,104.62764578833693,1
sedan,104.65269978401727,1
baste,104.65961123110151,1
drone,104.72181425485961,1
suite,104.73218142548596,1
anode,104.79524838012959,1
cased,104.87645788336933,0
peril,105.13218142548597,1
raced,105.15291576673866,0
leads,105.16328293736501,0
gorse,105.17537796976241,0
slide,105.21252699784017,1
delta,105.30064794816414,1
mates,105.34038876889849,0
tribe,105.52872570194384,1
bears,105.5866090712743,0
riots,105.607343412527,0
petal,105.87775377969763,1
poise,105.8829373650108,1
merit,105.91058315334773,1
agile,106.07386609071274,1
caper,106.13520518358531,1
males,106.20172786177106,0
deans,106.24319654427646,0
pleat,106.31663066954644,1
panes,106.33045356371491,0
enact,106.40302375809935,1
snail,106.40302375809935,1
trays,106.66133909287257,0
regal,106.6976241900648,1
their,106.81771058315334,1
padre,106.9585313174946,0
erase,106.96803455723541,1
brace,107.11749460043197,1
coast,107.12958963282938,1
eclat,107.13563714902808,1
carts,107.16933045356372,0
drape,107.20302375809935,1
wares,107.20993520518358,0
scone,107.22894168466523,1
pries,107.33520518358532,0
cairn,107.3524838012959,1
heirs,107.51835853131749,0
altos,107.56760259179266,0
hairs,107.61771058315335,0
lames,107.62116630669547,0
beast,107.91490280777538,1
tilde,107.93563714902808,1
peals,107.9390928725702,0
abler,107.9840172786177,0
tapir,108.02289416846654,1
false,108.35809935205184,1
curse,108.36501079913607,1
lunar,108.53952483801297,1
runes,108.54643628509719,0
rakes,108.56803455723542,0
actor,108.61727861771058,1
cedar,108.91792656587474,1
clean,108.92656587473002,1
triad,109.28509719222463,1
since,109.30928725701943,1
opera,109.31533477321814,1
argue,109.3645788336933,1
satin,109.38272138228942,1
elate,109.38358531317495,1
manes,109.43023758099352,0
style,109.49244060475162,1
riled,109.60475161987041,0
darts,109.65313174946004,0
raids,109.77580993520517,0
cites,109.96241900647948,0
ultra,109.96328293736501,1
after,110.00734341252699,1
lithe,110.07473002159827,1
nails,110.0816414686825,0
teams,110.22159827213824,0
toils,110.27688984881209,0
motel,110.36155507559396,1
stead,110.37192224622031,1
payer,110.41166306695465,1
roads,110.4462203023758,0
alike,110.55939524838013,1
holes,110.56976241900648,0
timer,110.59654427645789,1
meats,110.60777537796976,0
fears,110.68466522678185,0
meals,110.76069114470842,0
slope,110.84449244060475,1
rides,110.86349892008639,0
liens,110.88596112311015,0
pause,110.99827213822894,1
pared,111.00431965442765,0
older,111.03110151187904,1
heard,111.05788336933045,1
penal,111.0768898488121,1
remit,111.08725701943845,1
farce,111.10453563714903,1
heats,111.12181425485961,0
snort,111.15723542116632,1
bales,111.17969762419007,0
reach,111.28941684665227,1
ashen,111.36630669546436,1
polar,111.42159827213823,1
tiled,111.42937365010799,0
slime,111.43282937365011,1
grail,111.4414686825054,1
leaps,111.49503239740821,0
coals,111.64362850971922,0
waste,111.66177105831534,1
dance,111.83974082073435,1
nicer,111.85874730021598,1
sepia,111.86997840172786,1
anime,111.88207343412527,1
metal,111.88639308855292,1
royal,111.8915766738661,1
eater,111.95118790496761,1
heros,111.97278617710583,0
anger,111.98488120950324,1
tease,112.0341252699784,1
dotes,112.14125269978402,0
place,112.2561555075594,1
write,112.41771058315335,1
poser,112.422030237581,1
shade,112.52051835853132,1
aegis,112.60431965442766,0
pores,112.75205183585312,0
tiger,112.81339092872571,1
forte,112.85917926565874,1
acted,112.86090712742981,0
lutes,112.92397408207343,0
miser,113.07429805615551,1
skate,113.08725701943844,1
pairs,113.1002159827214,0
grape,113.12699784017279,1
trend,113.19006479481642,1
coats,113.24708423326135,0
names,113.25140388768898,0
heron,113.28682505399568,1
gayer,113.2963282937365,1
swear,113.60561555075594,1
rainy,113.62030237580993,1
taken,113.64276457883369,1
wears,113.64794816414687,0
feral,113.67991360691144,1
cones,113.74730021598272,0
slake,113.91317494600432,0
smile,114.0194384449244,1
auger,114.05831533477321,0
unite,114.07213822894168,1
valet,114.0902807775378,1
cages,114.14816414686825,0
harem,114.18099352051836,1
lease,114.18617710583153,1
ready,114.21209503239741,1
brine,114.22246220302375,1
price,114.26997840172785,1
means,114.37019438444925,0
shone,114.42548596112312,1
ulcer,114.43066954643628,1
stain,114.43844492440604,1
grade,114.5170626349892,1
fates,114.56544276457883,0
laced,114.62764578833693,0
takes,114.76846652267818,0
borne,114.85917926565875,1
stray,114.91792656587472,1
sober,114.93693304535637,1
other,114.98444924406047,1
doers,115.03801295896328,0
ropes,115.1244060475162,0
feast,115.16846652267819,1
rimes,115.236717062635,0
hated,115.28682505399568,0
ovate,115.31619870410367,1
haled,115.54082073434125,0
grant,115.61166306695465,1
those,115.67991360691146,1
mores,115.72311015118791,0
space,115.785313174946,1
metro,115.79049676025917,1
smote,116.03498920086393,1
trash,116.06868250539956,1
stein,116.17494600431965,1
untie,116.17667386609071,1
loath,116.18704103671706,1
wrote,116.24578833693305,1
rosin,116.39006479481641,0
cutie,116.44967602591794,1
ocean,116.47213822894167,1
angle,116.5023758099352,1
cures,116.55680345572354,0
crime,116.6829373650108,1
idler,116.84535637149028,1
recap,116.9144708423326,1
aspen,117.30323974082073,0
salve,117.31533477321815,1
rayon,117.4267818574514,1
toned,117.52095032397408,0
stake,117.62807775377969,1
raves,117.64535637149028,0
laity,117.68682505399568,0
recut,117.73088552915766,1
irons,117.83974082073433,0
spiel,117.95032397408207,1
yarns,117.99611231101512,0
terms,118.01252699784018,0
poles,118.10669546436284,0
chase,118.20431965442765,1
toads,118.23023758099352,0
capes,118.27775377969762,0
tunes,118.30021598272138,0
bleat,118.33822894168466,1
radio,118.43239740820735,1
slave,118.51706263498922,1
ideas,118.55161987041038,0
rifle,118.55680345572355,1
tides,118.58617710583154,0
beans,118.777969762419,0
thine,118.792656587473,0
drain,118.80388768898489,1
cameo,118.86004319654428,1
smite,118.86177105831534,1
cried,118.88164146868252,1
molar,118.93606911447085,1
avert,119.02073434125269,1
acorn,119.25658747300216,1
cream,119.25658747300216,1
email,119.34816414686824,1
serif,119.39999999999999,1
skier,119.47688984881209,1
oiled,119.69546436285097,0
cents,119.80863930885529,0
angel,119.81209503239741,1
camel,119.88812095032398,1
paces,120.02116630669546,0
piers,120.23369330453563,0
shine,120.24060475161986,1
chore,120.54470842332613,1
prune,120.54816414686825,1
lakes,120.56285097192224,0
ideal,120.56889848812095,1
loges,120.57667386609072,0
worse,120.68984881209504,1
moles,120.68984881209504,0
death,120.7866090712743,1
bores,120.87732181425486,0
tomes,120.8902807775378,0
rares,120.99222462203024,0
swore,121.05010799136069,1
moral,121.13390928725703,1
tamed,121.14341252699784,0
spade,121.15032397408207,1
alive,121.15377969762419,1
plait,121.16501079913607,1
plant,121.22894168466523,1
repay,121.25226781857451,1
largo,121.40518358531317,0
plies,121.42591792656587,0
feats,121.43196544276458,0
roams,121.5537796976242,0
trove,121.56069114470843,1
cable,121.62721382289416,1
facet,121.64103671706263,1
ripen,121.66090712742981,1
nadir,121.67473002159828,1
loads,121.77149028077754,0
easel,121.87170626349891,1
drake,121.88293736501079,1
motes,121.9244060475162,0
gruel,121.94514038876889,1
snake,122.10151187904968,1
hails,122.16285097192224,0
trams,122.19136069114471,0
rends,122.214686825054,0
traps,122.29071274298056,0
teach,122.41684665226781,1
agent,122.4548596112311,1
raged,122.47473002159828,0
manor,122.60345572354211,1
smart,122.61814254859611,1
spite,122.66133909287257,1
lured,122.7451403887689,0
latte,122.75896328293736,1
matey,122.80907127429806,1
robes,123.01641468682506,0
noted,123.04060475161987,0
flier,123.04751619870412,1
parts,123.05356371490281,0
unset,123.05961123110151,1
leach,123.08639308855292,1
trawl,123.10885529157667,1
maces,123.1330453563715,0
nosey,123.13563714902807,1
raven,123.16155507559395,1
stave,123.23671706263498,1
paled,123.38358531317495,0
pleas,123.44060475161987,0
boars,123.52354211663067,0
liker,123.60129589632828,0
ankle,123.6254859611231,1
adieu,123.69546436285097,0
oaken,123.7170626349892,1
steam,123.72051835853132,1
diner,123.74816414686825,1
hairy,123.85788336933045,1
harts,123.87948164146869,0
miles,123.89935205183585,0
mated,123.90453563714902,0
crave,123.96414686825054,1
shoal,124.00734341252699,1
rouge,124.03844492440605,1
gloat,124.0462203023758,1
miner,124.12138228941684,1
droit,124.1231101511879,1
wanes,124.15939524838014,0
fires,124.16717062634989,0
frail,124.19308855291577,1
labor,124.23714902807775,1
canto,124.32613390928726,0
snide,124.36069114470843,1
salty,124.3866090712743,1
naive,124.64319654427645,1
horde,124.67775377969762,1
armed,124.73563714902808,0
entry,124.75809935205183,1
nosed,124.80907127429806,0
bared,125.00345572354212,0
flair,125.0086393088553,1
cider,125.0414686825054,1
carve,125.04838012958963,1
piles,125.06133909287257,0
abort,125.12095032397409,1
clues,125.13477321814254,0
hoary,125.14341252699784,0
brain,125.14427645788336,1
scant,125.30842332613392,1
fetal,125.32397408207343,1
brats,125.41814254859611,0
shred,125.43110151187905,0
heist,125.46047516198705,1
eaten,125.46652267818575,1
amuse,125.73779697624191,1
scent,125.83887688984882,1
crept,125.87602591792657,1
brute,125.88984881209502,1
limes,125.91231101511879,0
towel,125.99006479481642,1
times,126.02462203023758,0
marts,126.06522678185745,0
ruled,126.16285097192225,0
barge,126.23023758099352,1
voile,126.39352051835853,0
grain,126.45917926565875,1
treat,126.69762419006479,1
shame,126.763282937365,1
areas,126.80129589632828,0
surge,126.80215982721383,1
boles,126.84967602591792,0
frame,126.85831533477322,1
filer,126.90151187904968,1
intro,126.90755939524838,1
gamer,126.96803455723543,1
wires,126.9939524838013,0
mites,127.03369330453563,0
terse,127.0380129589633,1
sower,127.03974082073434,1
dents,127.05874730021598,0
decal,127.06565874730022,1
bathe,127.12699784017279,1
rogue,127.2280777537797,1
fairs,127.25313174946004,0
vales,127.40086393088554,0
usage,127.45701943844492,1
refit,127.49244060475162,1
weary,127.56673866090713,1
purse,127.57537796976241,1
olden,127.60215982721382,1
heads,127.61166306695465,0
loins,127.6280777537797,0
rears,127.63930885529157,0
smelt,127.68336933045357,1
tends,127.70755939524838,0
goats,127.76285097192225,0
shape,127.78272138228942,1
cease,127.81641468682506,1
lobes,127.85529157667386,0
fared,127.91490280777538,0
wiser,128.01771058315336,1
goals,128.06609071274298,0
comet,128.21123110151188,1
dames,128.22332613390927,0
boast,128.22850971922247,1
abuse,128.2501079913607,1
clans,128.2622030237581,0
noble,128.27775377969763,1
terra,128.32354211663068,1
glade,128.35637149028076,1
ascot,128.35896328293737,1
coils,128.54816414686826,0
phase,128.58358531317495,1
slept,128.58704103671707,1
goner,128.6388768898488,1
aches,128.64492440604752,0
staid,128.71663066954645,1
codes,128.77365010799136,0
spine,128.78833693304534,1
house,128.79524838012958,1
tower,128.81166306695465,1
meaty,128.87386609071274,1
octal,128.89373650107993,1
glean,129.0647948164147,1
hired,129.2159827213823,0
tidal,129.22375809935204,1
lower,129.22462203023758,1
melts,129.25053995680346,0
leaks,129.26781857451405,0
decor,129.30669546436286,1
chair,129.3766738660907,1
pride,129.43714902807776,1
pelts,129.502807775378,0
lions,129.54600431965443,0
trite,129.59179265658747,1
bated,129.6254859611231,0
avers,129.68250539956804,0
beard,129.7110151187905,1
spelt,129.74298056155507,1
hoard,129.75939524838014,1
strap,129.82246220302378,1
seamy,129.8241900647948,0
opine,129.85442764578835,1
copse,129.8622030237581,1
cards,129.94427645788338,0
adorn,129.9987041036717,1
saith,130.036717062635,0
cited,130.24665226781858,0
maple,130.26306695464362,1
scary,130.39179265658748,1
pesto,130.41771058315334,1
paint,130.48596112311014,1
raked,130.6380129589633,0
shalt,130.7520518358531,1
based,130.763282937365,0
dream,130.78747300215983,1
sweat,130.79784017278618,1
faces,130.81166306695465,0
apron,130.84622030237583,1
arena,130.84708423326134,1
taste,130.95075593952484,1
snipe,130.96717062634988,1
peons,131.04838012958962,0
vanes,131.0622030237581,0
elite,131.16501079913607,1
patio,131.28941684665227,1
barns,131.3136069114471,0
wrest,131.46133909287258,1
pecan,131.607343412527,1
baron,131.6159827213823,1
lends,131.62894168466522,0
tours,131.65917926565874,0
bites,131.7110151187905,0
stand,131.71360691144707,1
pails,131.81641468682506,0
savor,131.844060475162,1
suave,131.90626349892008,1
super,131.91403887688983,1
dairy,132.03498920086395,1
poets,132.13261339092873,0
sales,132.21036717062634,0
strew,132.25788336933044,0
groan,132.28725701943844,1
diets,132.3269978401728,0
uncle,132.38833693304537,1
stoke,132.4133909287257,1
autos,132.45313174946006,0
filet,132.50151187904967,1
roach,132.5257019438445,1
force,132.54211663066954,1
routs,132.57149028077754,0
diary,132.66306695464363,1
clime,132.66479481641468,0
state,132.77365010799136,1
ochre,132.88596112311015,0
rivet,132.89805615550756,1
blent,132.98185745140387,0
reset,133.0647948164147,1
pages,133.06911447084232,0
navel,133.2669546436285,1
lamed,133.36371490280777,0
dines,133.3974082073434,0
moats,133.41900647948165,0
floes,133.43282937365012,0
prime,133.45529157667386,1
solve,133.45701943844492,1
tardy,133.4768898488121,1
value,133.48725701943843,1
story,133.48812095032397,1
craze,133.62634989200865,1
gapes,133.63326133909285,0
blest,133.66609071274297,0
torus,133.67818574514038,1
toyed,133.77494600431964,0
scorn,133.89935205183585,1
voter,134.1948164146868,1
cheat,134.19740820734341,1
melon,134.25442764578835,1
credo,134.26047516198705,1
blade,134.2803455723542,1
mails,134.35032397408207,0
adept,134.3745140388769,1
reign,134.3831533477322,1
comer,134.4228941684665,0
sleet,134.42721382289417,1
lined,134.44708423326134,0
trees,134.49805615550756,0
broil,134.50151187904967,1
grist,134.59740820734342,0
lemur,134.6406047516199,1
irony,134.64924406047516,1
bloat,134.67602591792658,1
urges,134.7157667386609,0
sugar,134.72958963282937,1
whale,134.84190064794817,1
pried,134.8609071274298,1
fated,135.0760259179266,0
aimed,135.09848812095032,0
truly,135.1062634989201,1
ferns,135.12872570194384,0
lords,135.29805615550757,0
piano,135.30410367170626,1
naves,135.3913606911447,0
brake,135.41123110151187,1
rehab,135.42159827213823,1
roman,135.4449244060475,0
frets,135.5399568034557,0
tinge,135.62980561555077,0
taxes,135.68250539956804,0
boats,135.69200863930885,0
scope,135.7282937365011,1
grope,135.7671706263499,1
cagey,135.80345572354213,1
oases,135.8086393088553,0
serum,135.85701943844492,1
erupt,135.93736501079914,1
mealy,135.9866090712743,1
cigar,136.00043196544277,1
abode,136.03239740820734,1
relax,136.03498920086392,1
crude,136.06522678185746,1
shard,136.1550755939525,1
bluer,136.23110151187905,1
usher,136.29589632829374,1
corns,136.2976241900648,0
sawed,136.4047516198704,0
azure,136.4341252699784,1
spice,136.4548596112311,1
debar,136.57840172786177,1
singe,136.67084233261338,1
bones,136.6794816414687,0
token,136.6829373650108,1
adobe,136.69330453563717,1
viler,136.69416846652268,0
pines,136.70107991360692,0
dices,136.73822894168467,0
crags,136.75291576673865,0
guile,136.7814254859611,1
shied,136.7840172786177,1
colts,136.8315334773218,0
creak,136.85399568034558,1
crash,136.87991360691146,1
ounce,136.98099352051835,1
lover,137.25226781857452,1
drays,137.26522678185745,0
chose,137.33347732181426,1
valor,137.4708423326134,1
lemon,137.47170626349893,1
gripe,137.48984881209503,1
mines,137.5866090712743,0
games,137.59697624190065,0
belts,137.6462203023758,0
solid,137.67041036717063,1
abide,137.68855291576673,1
tuber,137.77408207343413,1
plain,137.80259179265659,1
pored,137.82332613390926,0
retch,138.03239740820734,1
boule,138.1732181425486,1
verso,138.25097192224624,1
larch,138.258747300216,0
lands,138.29935205183585,0
fades,138.3390928725702,0
court,138.39611231101512,1
warts,138.39784017278618,0
sires,138.42116630669545,0
image,138.50928725701942,1
seals,138.5611231101512,0
liver,138.59913606911448,1
pedal,138.61295896328292,1
flies,138.70107991360692,0
cargo,138.70885529157667,1
bread,138.7123110151188,1
finer,138.75809935205183,1
flora,138.79956803455724,1
baits,138.88336933045358,0
party,139.0768898488121,1
fleas,139.24103671706263,0
opals,139.26177105831533,0
tuned,139.30755939524838,0
print,139.33952483801295,1
maker,139.5036717062635,1
delay,139.6462203023758,1
sport,139.72224622030237,1
aunts,139.7231101511879,0
named,139.78876889848812,0
heaps,139.83110151187904,0
halts,139.83801295896328,0
probe,139.8708423326134,1
ample,139.88207343412526,1
cakes,139.948596112311,0
mouse,140.2535637149028,1
splat,140.27775377969763,1
reels,140.32354211663068,0
steak,140.34427645788338,1
rafts,140.3866090712743,0
depot,140.42980561555075,1
chart,140.50237580993522,1
caged,140.56976241900648,0
blast,140.6561555075594,1
float,140.7304535637149,1
steer,140.7658747300216,1
nasty,140.85572354211664,1
organ,140.89805615550756,1
trait,140.96285097192225,1
kites,141.12354211663066,0
homer,141.1244060475162,1
likes,141.20215982721382,0
seats,141.21857451403886,0
grime,141.2643628509719,1
phone,141.28077753779698,1
spent,141.2928725701944,1
acrid,141.31187904967604,1
waist,141.34125269978404,1
wiles,141.34730021598273,0
overt,141.40691144708424,1
giant,141.42073434125268,1
penis,141.42246220302374,0
wager,141.46997840172787,1
gents,141.52267818574515,0
moans,141.5693304535637,0
bride,141.58920086393087,1
short,141.5900647948164,1
files,141.61079913606912,0
tiara,141.68077753779698,1
olive,141.81382289416845,1
herds,141.87602591792657,0
sneer,141.88639308855292,1
rebut,142.01252699784018,1
riser,142.0246220302376,1
larks,142.03844492440604,0
venal,142.03844492440604,0
pilot,142.0548596112311,1
reply,142.09287257019437,1
turns,142.10064794816415,0
cured,142.2086393088553,0
asset,142.24838012958963,1
stove,142.25183585313175,1
beads,142.40043196544278,0
grave,142.4107991360691,1
roped,142.4228941684665,0
inane,142.44708423326134,1
crust,142.56889848812096,1
plans,142.5913606911447,0
guise,142.6380129589633,1
sores,142.6622030237581,0
blame,142.7572354211663,1
ralph,142.7745140388769,1
dirge,142.79352051835852,1
daisy,142.82375809935206,1
caves,142.8254859611231,0
viral,142.83844492440605,1
daunt,142.87904967602591,1
basil,142.8937365010799,1
comes,142.9144708423326,0
tense,142.9732181425486,1
laths,143.03714902807775,0
gable,143.1390928725702,0
loose,143.17796976241902,1
slang,143.20215982721382,1
shirt,143.20907127429805,1
pulse,143.26177105831533,1
aloft,143.30928725701943,1
pains,143.3403887688985,0
racer,143.44060475161987,1
yards,143.44060475161987,0
oaths,143.56069114470841,0
eyrie,143.68336933045356,0
saved,143.77235421166307,0
girls,143.82764578833692,0
shake,143.83801295896328,1
twine,143.8526997840173,1
tarot,143.8647948164147,1
stoic,143.91403887688983,1
shorn,143.94946004319655,1
plead,144.01511879049676,1
warns,144.07559395248379,0
halve,144.08682505399568,1
orbit,144.1205183585313,1
scald,144.15421166306695,1
pants,144.16025917926567,0
altar,144.2328293736501,1
under,144.2682505399568,1
north,144.37451403887687,1
ruins,144.50410367170628,0
thorn,144.6,1
craft,144.62332613390927,1
curio,144.62850971922248,1
mayor,144.67429805615552,1
title,144.69157667386608,1
scour,144.7546436285097,1
greys,144.76069114470843,0
straw,144.83758099352053,1
reuse,144.99913606911446,1
sneak,145.0855291576674,1
swine,145.1157667386609,1
votes,145.1390928725702,0
twice,145.1978401727862,1
scree,145.19956803455722,1
amber,145.20561555075594,1
ports,145.4950323974082,0
baker,145.5451403887689,1
antic,145.57883369330455,1
amour,145.62807775377968,0
mural,145.7498920086393,1
axles,145.8889848812095,0
posed,145.8976241900648,0
ranch,145.9546436285097,1
rapid,146.13952483801296,1
trips,146.17494600431968,0
hyena,146.26911447084234,1
stark,146.26911447084234,1
copra,146.34341252699784,0
honey,146.3831533477322,1
gored,146.55161987041038,0
inept,146.57753779697623,1
steel,146.59308855291576,1
knelt,146.6,1
glens,146.62505399568033,0
mains,146.67602591792655,0
deity,146.6768898488121,1
loves,146.69589632829374,0
mange,146.80820734341253,1
bagel,146.81684665226783,1
scaly,147.06047516198706,1
moist,147.12872570194384,1
flame,147.30755939524838,1
medal,147.311879049676,1
scrap,147.5183585313175,1
rhino,147.57969762419006,1
begat,147.63326133909285,1
agree,147.70410367170626,1
crabs,147.7170626349892,0
shave,147.85183585313175,1
sloth,147.85961123110152,1
prays,147.8889848812095,0
brave,148.1023758099352,1
plied,148.14298056155508,1
exalt,148.14816414686825,1
lotus,148.2501079913607,0
tango,148.3123110151188,1
screw,148.38228941684667,1
brash,148.5084233261339,1
spied,148.52224622030238,1
baton,148.5291576673866,1
macro,148.53347732181427,1
horns,148.55766738660907,0
wails,148.62159827213824,0
preys,148.62505399568033,0
coupe,148.64319654427646,1
rises,148.66565874730023,0
infer,148.72613390928726,1
dunes,148.76760259179267,0
hides,148.8609071274298,0
roars,148.866090712743,0
retro,148.88164146868252,1
scram,148.99913606911448,1
raved,149.0267818574514,0
waits,149.0466522678186,0
mason,149.07948164146867,1
adult,149.10539956803456,1
ester,149.14686825053997,1
clout,149.14773218142548,1
soars,149.18488120950323,0
aorta,149.24362850971923,1
spoil,149.30583153347732,1
sinew,149.36803455723543,1
ridge,149.38963282937365,1
model,149.39395248380129,1
ached,149.41555075593953,0
enter,149.4181425485961,1
voice,149.47948164146868,1
flirt,149.4924406047516,1
felon,149.60820734341254,1
roses,149.64794816414687,0
soles,149.66695464362851,0
miens,149.67127429805615,0
fails,149.72138228941685,0
pease,149.7524838012959,0
flute,149.93822894168468,1
soapy,149.97019438444926,1
sonic,150.20950323974083,1
drags,150.21987041036718,0
owner,150.23369330453565,1
hoist,150.24665226781858,1
jeans,150.28380129589632,0
frost,150.288120950324,1
clued,150.36155507559397,1
abled,150.5110151187905,1
